University,City,Knowledge Source
Albany Law School,Aberdeen Proving Ground - MD,University Records
American University (DC),Alexandria - VA
Arizona State University (AZ),Alhambra - CA
Auburn University (AL),Allentown - PA
Bard College (NY),Altamonte Springs - FL
Berklee College of Music (MA),Annandale - VA
Boston College (MA),Annapolis - MD
Boston University (MA),Annapolis Junction - MD
Case Western Reserve University (OH),Ardmore - PA
Catholic University of America (DC),Arlington - VA
College of Charleston (SC),Ashburn - VA
College of William and Mary (VA),Austin - TX
Columbia University (NY),Avondale - TX
CUNY—Hunter College (NY),Babylon - NY
DePaul University (IL),Baltimore - MD
Dominican School of Philosophy & Theology (CA),Basking Ridge - NJ
Drexel University (PA),Beltsville - MD
Duquesne University (PA),Bethesda - MD
Erie Community College (NY),Bethlehem - PA
Florida International University (FL),Binghamton - NY
Florida State University (FL),Blue Bell - PA
Fordham University (NY),Bordentown - NJ
George Mason University (VA),Boston - MA
George Washington University (DC),Brooklyn - NY
Georgetown University (DC),Brunswick - GA
Georgia Institute of Technology (GA),Camarillo - CA
Harvard University (MA),Cedar Hill - UT
Hillsborough Community College (FL),Chantilly - VA
Hofstra University (NY),Charlotte - NC
Indiana University - Indianapolis (IN),Charlottesville - VA
Indiana University—Bloomington (IN),Cherry Hill - NJ
James Madison University (VA),Chesapeake - VA
Johns Hopkins University (MD),Chicago - IL
John’s Hopkins University (MD),Cincinnati - OH
KU Leuven,Cleveland - OH
London School of Economics and Political Science (United Kingdom),College Park - MD
Loyola University Maryland (MD),Colorado City - CO
Manhattan College (NY),Columbia - MD
Marquette University (WI),Conshohocken - PA
Merrimack College (MA),Crofton - MD
Monmouth University (NJ),Dallas - TX
MONTGOMERY COLLEGE,Darien - CT
Mount Mary College (WI),Denver - CO
Mount St. Mary’s University (MD),Dhahran - Saudi Arabia
New York University (NY),Dover - DE
Ohio State University--Columbus (OH),Dublin - CA
Ohio University (OH),Dublin - Ireland
Old Dominion University (VA),Dulles - VA
Pontifical John Paul II Institute for Studies on Marriage and Family,Durham - NC
PRINCE GEORGES COMMUNITY COLLEGE,Durham - NH
Purdue University Global (IN),Easton - MD
Queen's University of Belfast (United Kingdom),Edison - NJ
Rice University (TX),Edwards - CA
Roger Williams University (RI),El Segundo - CA
Rowan University (NJ),Elkton - VA
"Rutgers, the State University of New Jersey--Camden (NJ)",Fairfax - VA
Sacred Heart University (CT),Falls Church - VA
Saint John's University of Theology (MN),Fargo - ND
Saint Meinrad Seminary and School of Theology (IN),Fletcher - NC
Savannah College of Art and Design (GA),Fort Benning - GA
Smith College (MA),Fort Campbell - KN
Southern California Institute of Architecture (CA),Fort Lauderdale - FL
Southern Connecticut State University (CT),Fort Worth - TX
St. Gregory's University (OK),Franklin - MA
Stony Brook University—SUNY (NY),Frederick - MD
SUNY NIAGARA COUNTY COMMUNITY COLLEGE,Fredericksburg - VA
Temple University (PA),Fridley -MN
Texas A&M University—College Station (TX),Fulton - MD
The Pennsylvania State University--University Park (PA),Gambrills - MD
Thomas Jefferson University (PA),Georgetown - MD
Universidad Central del Caribe,Glen Burnie - MD
University College Dublin (Ireland),Glenwood Springs - CO
University of California—Los Angeles “UCLA” (CA),Great Neck - NY
University of Dallas (TX),Green Island - NY
University of Maryland--Baltimore (MD),Greenbelt - MD
University of Maryland--College Park (MD),Greenville - NC
University of Maryland—College Park (MD),Groton - CT
University of Maryland—Global Campus (MD),Hales Corners - WI
University of Massachusetts--Boston (MA),Hanover - MD
University of Miami (FL),Harrisonburg - VA
University of Nevada—Las Vegas (NV),Hempstead - NY
University of New Hampshire (NH),Herndon - VA
University of Notre Dame (IN),Howard County
University of Oregon (OR),Huelva - Spain
University of Oxford (United Kingdom),Huntsville - AL
University of Pittsburgh (PA),Hyattsville - MD
University of Richmond (VA),Indian Head - MD
University of South Florida (FL),Indianapolis - IN
University of St Andrews (United Kingdom),Jeddah (jiddah) - Saudi Arabia
University of St. Andrews,Jessup - MD
University of St. Augustine for Health Sciences (FL),Joint Base Andrews
University of St. Thomas (MN),Kearny - NJ
University of Tampa (FL),King of Prussia - PA
University of Texas—Austin (TX),Lafayette - LA
University of the Arts London—Wimbledon (United Kingdom),Lake Grove - NY
Villanova University (PA),Lakehurst - NJ
Virginia Tech (VA),Laurel - MD
Washington University in St. Louis (MO),Leesburg - VA
Widener University (PA),Lewisburg - PA
Wilmington University (DE),Los Angeles - CA
Woodbury University (CA),Louisville - KY
,Lyndhurst - NJ
,Madison - WI
,Malden - MA
,Malvern - PA
,Manasquan - NJ
,Manhasset - NY
,Marshall - VA
,Maryland Line - MD
,Mclean - VA
,Medford - NJ
,Mexico City - Mexico
,Miami - FL
,Montgomery Village - MD
,Montgomeryville - PA
,Moorestown - NJ
,Morrisville - NC
,Naples - FL
,Nashville - TN
,New Canaan - CT
,New Haven - CT
,New York - NY
,Newark - NJ
,Newburgh - NY
,Newport News - VA
,Norton - MA
,Notre Dame - IN
,Oaklyn - NJ
,Old Greenwich - CT
,Olney - MD
,Omaha - NE
,Orlando - FL
,Palm Beach Gardens - FL
,Patuxent River - MD
,Pennington - NJ
,Philadelphia - PA
,Pittsburgh - PA
,Plainville - MA
,Pleasantville - NY
,Portland - ME
,Princeton - NJ
,Providence - RI
,Quantico - VA
,Queenstown - MD
,Raleigh - NC
,Red Bank - NJ
,Reston - VA
,Richmond - VA
,Ringwood - NJ
,Riyadh - Saudi Arabia
,Rockville - MD
,Salem - OR
,San Diego - CA
,San Francisco - CA
,San Jose - CA
,Santa Barbara - CA
,Sayville - VA
,Scottsdale - AZ
,Seattle - WA
,Silver Spring - MD
,Smithfield - RI
,Somerset - NJ
,Sonoita - AZ
,South Bend - IN
,South Jordan - UT
,Springfield - NJ
,Springfield - VA
,St. Louis - MO
,Stamford - CT
,Staten Island - NY
,Sterling - MA
,Sterling - VA
,Steubenville - OH
,Syracuse - NY
,Takoma Park - MD
,Tallahassee - FL
,Tampa - FL
,Taylor - AZ
,Terryville - CT
,Tomonia
,Trenton - NJ
,Tysons - VA
,Upper Marlboro - MD
,Vienna - VA
,Virginia Beach - VA
,Warwick - RI
,Washington - DC
,Washington - NC
,Watertown - WI
,West Chester - PA
,West Mifflin - PA
,West New York - NJ
,West Point - NY
,Williston Park - NY
,Wilmington - DE
,Wilmington - NC
,Winston-Salem - NC
,Woodbridge - VA
,Wynnewood - PA
,Yardley - PA
